date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:25:58	67/67	---M--	200	added ('OK')	text/plain	date:Wed,%2010%20Jun%202020%2023:25:57%20GMT	https://mikvachallenge.org/robots.txt		(from )
18:25:59	64268/64268	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Jun%202020%2023:25:58%20GMT	https://mikvachallenge.org/	C:/Users/pradipta_mallick/Desktop/dfwincomelab/mikvachallenge.org/index.html	(from )
18:26:08	4820/4820	---M-Z	200	added ('OK')	text/css	date:Wed,%2010%20Jun%202020%2023:26:08%20GMT	https://use.typekit.net/dtm4tzd.css	C:/Users/pradipta_mallick/Desktop/dfwincomelab/use.typekit.net/dtm4tzd.css	(from https://mikvachallenge.org/)
18:26:09	10134/10134	---M--	200	added ('OK')	image/png	etag:%225d15c9f0-2796%22	https://mikvachallenge.org/wp-content/themes/radracer4.1/img/favicons/apple-touch-icon.png?ver=2019	C:/Users/pradipta_mallick/Desktop/dfwincomelab/mikvachallenge.org/wp-content/themes/radracer4.1/img/favicons/apple-touch-icon178f.png	(from https://mikvachallenge.org/)
18:26:09	1873/1873	---M--	200	added ('OK')	image/png	etag:%225d15c9f0-751%22	https://mikvachallenge.org/wp-content/themes/radracer4.1/img/favicons/favicon-32x32.png?ver=2019	C:/Users/pradipta_mallick/Desktop/dfwincomelab/mikvachallenge.org/wp-content/themes/radracer4.1/img/favicons/favicon-32x32178f.png	(from https://mikvachallenge.org/)
18:26:10	1239/1239	---M--	200	added ('OK')	image/png	etag:%225d15c9f0-4d7%22	https://mikvachallenge.org/wp-content/themes/radracer4.1/img/favicons/favicon-16x16.png?ver=2019-2	C:/Users/pradipta_mallick/Desktop/dfwincomelab/mikvachallenge.org/wp-content/themes/radracer4.1/img/favicons/favicon-16x16b8ab.png	(from https://mikvachallenge.org/)
18:26:10	482/482	---MCZ	200	added ('OK')	application/manifest+json	date:Fri,%2028%20Jun%202019%2008:04:00%20GMT	https://mikvachallenge.org/wp-content/themes/radracer4.1/img/favicons/site.webmanifest?ver=2019	C:/Users/pradipta_mallick/Desktop/dfwincomelab/mikvachallenge.org/wp-content/themes/radracer4.1/img/favicons/site178f.webmanifest	(from https://mikvachallenge.org/)
18:26:10	10847/10847	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225d15c9f0-2a5f%22	https://mikvachallenge.org/wp-content/themes/radracer4.1/img/favicons/safari-pinned-tab.svg?ver=2019	C:/Users/pradipta_mallick/Desktop/dfwincomelab/mikvachallenge.org/wp-content/themes/radracer4.1/img/favicons/safari-pinned-tab178f.svg	(from https://mikvachallenge.org/)
18:26:10	15086/15086	---MCZ	200	added ('OK')	image/x-icon	etag:W/%225d15c9f0-3aee%22	https://mikvachallenge.org/wp-content/themes/radracer4.1/img/favicons/favicon.ico?ver=2019	C:/Users/pradipta_mallick/Desktop/dfwincomelab/mikvachallenge.org/wp-content/themes/radracer4.1/img/favicons/favicon178f.ico	(from https://mikvachallenge.org/)
18:26:11	259/259	---MCZ	200	added ('OK')	application/xml	date:Fri,%2028%20Jun%202019%2008:04:00%20GMT	https://mikvachallenge.org/wp-content/themes/radracer4.1/img/favicons/browserconfig.xml?ver=2019	C:/Users/pradipta_mallick/Desktop/dfwincomelab/mikvachallenge.org/wp-content/themes/radracer4.1/img/favicons/browserconfig178f.xml	(from https://mikvachallenge.org/)
18:26:11	70503/70503	---MCZ	200	added ('OK')	text/css	etag:W/%225ed93a24-11367%22	https://mikvachallenge.org/wp-content/plugins/instagram-feed-pro/css/sb-instagram.min.css?ver=5.6	C:/Users/pradipta_mallick/Desktop/dfwincomelab/mikvachallenge.org/wp-content/plugins/instagram-feed-pro/css/sb-instagram.min40df.css	(from https://mikvachallenge.org/)
18:26:11	7513/7513	---MCZ	200	added ('OK')	text/css	etag:W/%225d24a72c-1d59%22	https://mikvachallenge.org/wp-content/themes/radracer4.1/_initialize.css?ver=5.4.1	C:/Users/pradipta_mallick/Desktop/dfwincomelab/mikvachallenge.org/wp-content/themes/radracer4.1/_initializec225.css	(from https://mikvachallenge.org/)
18:26:11	4210/4210	---MCZ	200	added ('OK')	text/css	etag:W/%225d15c9f0-1072%22	https://mikvachallenge.org/wp-content/themes/radracer4.1/js/lity/lity.css?ver=5.4.1	C:/Users/pradipta_mallick/Desktop/dfwincomelab/mikvachallenge.org/wp-content/themes/radracer4.1/js/lity/lityc225.css	(from https://mikvachallenge.org/)
18:26:12	45/45	---M--	302	error ('Found')	text/plain	date:Wed,%2010%20Jun%202020%2023:26:12%20GMT	https://unpkg.com/aos@2.3.1/dist/aos.css?ver=5.4.1	C:/Users/pradipta_mallick/Desktop/dfwincomelab/unpkg.com/aos@2.3.1/dist/aos.bc225.delayed	(from https://mikvachallenge.org/)
18:26:12	26053/26053	---M-Z	200	added ('OK')	text/css	etag:W/%2265c5-BVfTdFS2f0LyyxAeV+UHD7EZNXA%22	https://unpkg.com/aos@2.3.1/dist/aos.css	C:/Users/pradipta_mallick/Desktop/dfwincomelab/unpkg.com/aos@2.3.1/dist/aos.css	(from https://mikvachallenge.org/)
18:26:12	127346/127346	---MCZ	200	added ('OK')	text/css	etag:W/%225ed96c40-1f172%22	https://mikvachallenge.org/wp-content/themes/radracer4.1/style.css?ver=5.4.1	C:/Users/pradipta_mallick/Desktop/dfwincomelab/mikvachallenge.org/wp-content/themes/radracer4.1/stylec225.css	(from https://mikvachallenge.org/)
18:26:13	86927/86927	---M-Z	200	added ('OK')	application/javascript	etag:W/%225a637bd4-1538f%22	https://code.jquery.com/jquery-3.3.1.min.js?ver=3.3.1	C:/Users/pradipta_mallick/Desktop/dfwincomelab/code.jquery.com/jquery-3.3.1.min3d36.js	(from https://mikvachallenge.org/)
18:26:14	11421/11421	---M-Z	200	added ('OK')	application/javascript	etag:W/%2259caf3e6-2c9d%22	https://code.jquery.com/jquery-migrate-3.0.1.min.js?ver=3.0.1	C:/Users/pradipta_mallick/Desktop/dfwincomelab/code.jquery.com/jquery-migrate-3.0.1.min41fe.js	(from https://mikvachallenge.org/)
18:26:14	218557/218557	---MCZ	200	added ('OK')	application/javascript	etag:W/%225ed93a24-355bd%22	https://mikvachallenge.org/wp-content/plugins/instagram-feed-pro/js/sb-instagram.min.js?ver=5.6	C:/Users/pradipta_mallick/Desktop/dfwincomelab/mikvachallenge.org/wp-content/plugins/instagram-feed-pro/js/sb-instagram.min40df.js	(from https://mikvachallenge.org/)
18:26:15	253668/253668	---MC-	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jqueryui/1.12.1/jquery-ui.min.js?ver=1	C:/Users/pradipta_mallick/Desktop/dfwincomelab/ajax.googleapis.com/ajax/libs/jqueryui/1.12.1/jquery-ui.min68b3.js	(from https://mikvachallenge.org/)
18:26:15	44/44	---M--	302	error ('Found')	text/plain	date:Wed,%2010%20Jun%202020%2023:26:15%20GMT	https://unpkg.com/aos@2.3.1/dist/aos.js?ver=1	C:/Users/pradipta_mallick/Desktop/dfwincomelab/unpkg.com/aos@2.3.1/dist/aos.1268b3.delayed	(from https://mikvachallenge.org/)
18:26:16	14239/14239	---M-Z	200	added ('OK')	application/javascript	etag:W/%22379f-cNv9OKDx/DsafZ+tq1h4ZITDTxc%22	https://unpkg.com/aos@2.3.1/dist/aos.js	C:/Users/pradipta_mallick/Desktop/dfwincomelab/unpkg.com/aos@2.3.1/dist/aos.js	(from https://mikvachallenge.org/)
18:26:17	104780/104780	---MCZ	200	added ('OK')	application/javascript	etag:W/%225bbbc907-1994c%22	https://cdnjs.cloudflare.com/ajax/libs/ScrollMagic/2.0.6/ScrollMagic.js?ver=1	C:/Users/pradipta_mallick/Desktop/dfwincomelab/cdnjs.cloudflare.com/ajax/libs/ScrollMagic/2.0.6/ScrollMagic68b3.js	(from https://mikvachallenge.org/)
18:26:17	17847/17847	---MCZ	200	added ('OK')	application/javascript	etag:W/%225d15c9f0-45b7%22	https://mikvachallenge.org/wp-content/themes/radracer4.1/js/lity/lity.js?ver=1	C:/Users/pradipta_mallick/Desktop/dfwincomelab/mikvachallenge.org/wp-content/themes/radracer4.1/js/lity/lity68b3.js	(from https://mikvachallenge.org/)
18:26:17	12438/12438	---MCZ	200	added ('OK')	application/javascript	etag:W/%225d15c9f0-3096%22	https://mikvachallenge.org/wp-content/themes/radracer4.1/js/simple-expand.js?ver=1	C:/Users/pradipta_mallick/Desktop/dfwincomelab/mikvachallenge.org/wp-content/themes/radracer4.1/js/simple-expand68b3.js	(from https://mikvachallenge.org/)
18:26:17	1391/1391	---MCZ	200	added ('OK')	application/javascript	etag:W/%225d15c9f0-56f%22	https://mikvachallenge.org/wp-content/themes/radracer4.1/js/jquery.animateNumber.min.js?ver=1	C:/Users/pradipta_mallick/Desktop/dfwincomelab/mikvachallenge.org/wp-content/themes/radracer4.1/js/jquery.animateNumber.min68b3.js	(from https://mikvachallenge.org/)
18:26:17	1563/1563	---MCZ	200	added ('OK')	application/javascript	etag:W/%225d15c9f0-61b%22	https://mikvachallenge.org/wp-content/themes/radracer4.1/js/jquery.disablescroll.min.js?ver=1	C:/Users/pradipta_mallick/Desktop/dfwincomelab/mikvachallenge.org/wp-content/themes/radracer4.1/js/jquery.disablescroll.min68b3.js	(from https://mikvachallenge.org/)
18:26:18	19074/19074	---MCZ	200	added ('OK')	application/javascript	etag:W/%225d15c9f0-4a82%22	https://mikvachallenge.org/wp-content/themes/radracer4.1/js/myscripts.js?ver=1	C:/Users/pradipta_mallick/Desktop/dfwincomelab/mikvachallenge.org/wp-content/themes/radracer4.1/js/myscripts68b3.js	(from https://mikvachallenge.org/)
18:26:18	822/822	---MCZ	200	added ('OK')	text/xml	date:Wed,%2010%20Jun%202020%2023:26:18%20GMT	https://mikvachallenge.org/xmlrpc.php?rsd	C:/Users/pradipta_mallick/Desktop/dfwincomelab/mikvachallenge.org/xmlrpc0db0.php	(from https://mikvachallenge.org/)
18:26:18	1045/1045	---MCZ	200	added ('OK')	text/xml	etag:W/%2252a8c1b7-415%22	https://mikvachallenge.org/wp-includes/wlwmanifest.xml	C:/Users/pradipta_mallick/Desktop/dfwincomelab/mikvachallenge.org/wp-includes/wlwmanifest.xml	(from https://mikvachallenge.org/)
18:26:18	95095/95095	---MCZ	200	added ('OK')	application/json	date:Wed,%2010%20Jun%202020%2023:26:18%20GMT	https://mikvachallenge.org/wp-json/	C:/Users/pradipta_mallick/Desktop/dfwincomelab/mikvachallenge.org/wp-json/index.html	(from https://mikvachallenge.org/)
18:26:19	2429/2429	---MCZ	200	added ('OK')	application/json	date:Wed,%2010%20Jun%202020%2023:26:18%20GMT	https://mikvachallenge.org/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fmikvachallenge.org%2F	C:/Users/pradipta_mallick/Desktop/dfwincomelab/mikvachallenge.org/wp-json/oembed/1.0/embed80f6.json	(from https://mikvachallenge.org/)
18:26:19	2532/2532	---MCZ	200	added ('OK')	text/xml	date:Wed,%2010%20Jun%202020%2023:26:19%20GMT	https://mikvachallenge.org/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fmikvachallenge.org%2F&format=xml	C:/Users/pradipta_mallick/Desktop/dfwincomelab/mikvachallenge.org/wp-json/oembed/1.0/embed5e01	(from https://mikvachallenge.org/)
18:26:19	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2010%20Jun%202020%2023:26:19%20GMT	https://mikvachallenge.org/blog/our-commitment-to-racial-justice-and-root-cause-work	C:/Users/pradipta_mallick/Desktop/dfwincomelab/mikvachallenge.org/blog/our-commitment-to-racial-justice-and-root-cause-work	(from https://mikvachallenge.org/)
18:26:19	3114/3114	---M--	200	added ('OK')	image/png	etag:%225d15c9f2-c2a%22	https://mikvachallenge.org/wp-content/uploads/2019/05/mikva-challenge-logo.png	C:/Users/pradipta_mallick/Desktop/dfwincomelab/mikvachallenge.org/wp-content/uploads/2019/05/mikva-challenge-logo.png	(from https://mikvachallenge.org/)
18:26:20	57958/57958	---M--	200	added ('OK')	image/jpeg	etag:%225d15c9f2-e266%22	https://mikvachallenge.org/wp-content/uploads/2019/05/DSC_0149.jpg	C:/Users/pradipta_mallick/Desktop/dfwincomelab/mikvachallenge.org/wp-content/uploads/2019/05/DSC_0149.jpg	(from https://mikvachallenge.org/)
18:26:20	69466/69466	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Jun%202020%2023:26:20%20GMT	https://mikvachallenge.org/blog/our-commitment-to-racial-justice-and-root-cause-work/	C:/Users/pradipta_mallick/Desktop/dfwincomelab/mikvachallenge.org/blog/our-commitment-to-racial-justice-and-root-cause-work/index.html	(from https://mikvachallenge.org/)
18:26:20	76737/76737	---M--	200	added ('OK')	image/jpeg	etag:%225d15c9f2-12bc1%22	https://mikvachallenge.org/wp-content/uploads/2019/05/Mikva_071916_0204.jpg	C:/Users/pradipta_mallick/Desktop/dfwincomelab/mikvachallenge.org/wp-content/uploads/2019/05/Mikva_071916_0204.jpg	(from https://mikvachallenge.org/)
18:26:20	62675/62675	---M--	200	added ('OK')	image/jpeg	etag:%225d15c9f2-f4d3%22	https://mikvachallenge.org/wp-content/uploads/2019/05/Mikva_071916_0324.jpg	C:/Users/pradipta_mallick/Desktop/dfwincomelab/mikvachallenge.org/wp-content/uploads/2019/05/Mikva_071916_0324.jpg	(from https://mikvachallenge.org/)
18:26:20	56872/56872	---M--	200	added ('OK')	image/jpeg	etag:%220%22	https://i3.ytimg.com/vi/4DtnjdyrQLo/maxresdefault.jpg	C:/Users/pradipta_mallick/Desktop/dfwincomelab/i3.ytimg.com/vi/4DtnjdyrQLo/maxresdefault.jpg	(from https://mikvachallenge.org/)
